Archive 	Archive 	Archive 	g	x
Buffalo Springfield 	Buffalo Springfield 	Buffalo Springfield 	g	x
Culture 	Culture 	Culture 	g	x
Dexys Midnight Runners 	Dexys Midnight Runners 	Dexys Midnight Runners 	g	x
Earth, Wind & Fire 	Earth, Wind & Fire 	Earth, Wind & Fire 	g	x
Flamin' Groovies 	Flamin' Groovies 	Flamin' Groovies 	g	x
Freerange Records Colour Series 	Freerange Records Colour Series 	Freerange Records Colour Series 	g	x
Fugazi 	Fugazi 	Fugazi 	g	x
Genesis 	Genesis 	Genesis 	g	x
Iron Butterfly 	Iron Butterfly 	Iron Butterfly 	g	x
Iron Maiden 	Iron Maiden 	Iron Maiden 	g	x
Jethro Tull 	Jethro Tull 	Jethro Tull 	g	x
Ministère A.M.E.R 	Ministère A.M.E.R 	Ministère A.M.E.R 	g	x
Moussu T 	Moussu T 	Moussu T 	g	x
New York Dolls 	New York Dolls 	New York Dolls 	g	x
Orange Blossom 	Orange Blossom 	Orange Blossom 	g	x
Rage Against the Machine 	Rage Against the Machine 	Rage Against the Machine 	g	x
Savages 	Savages 	Savages 	g	x
Sister Sledge 	Sister Sledge 	Sister Sledge 	g	x
Sonic Youth 	Sonic Youth 	Sonic Youth 	g	x
The Abyssinians 	The Abyssinians 	The Abyssinians 	g	x
The Last Skeptik 	The Last Skeptik 	The Last Skeptik 	g	x
The New Mastersounds 	The New Mastersounds 	The New Mastersounds 	g	x
The Robert Cray Band 	The Robert Cray Band 	The Robert Cray Band 	g	x
The Spencer Davis Group 	The Spencer Davis Group 	The Spencer Davis Group 	g	x
The Stranglers 	The Stranglers 	The Stranglers 	g	x
