Aaron 	Aaron 		p	x
Aaron Neville 	Aaron 	Neville 	p	x
Aaron Parks 	Aaron 	Parks 	p	x
Ablaye Cissoko 	Ablaye 	Cissoko 	p	x
Ablaye Ndiaye Thiossane 	Ablaye 	Ndiaye Thiossane 	p	x
Ahmad Jamal 	Ahmad 	Jamal 	p	x
Al Green 	Al 	Green 	p	x
Alain Chamfort 	Alain 	Chamfort 	p	x
Alan Vega 	Alan 	Vega 	p	x
Albert Collins 	Albert 	Collins 	p	x
Albert King 	Albert 	King 	p	x
Alborosie 	Alborosie 		p	x
Aldo Romano 	Aldo 	Romano 	p	x
Alex Hepburn 	Alex 	Hepburn 	p	x
Alexander Kowalski 	Alexander 	Kowalski 	p	x
Ali Farka Toure 	Ali 	Farka Toure 	p	x
Alice Cooper 	Alice 	Cooper 	p	x
Alicia Keys 	Alicia 	Keys 	p	x
Aliose 	Aliose 		p	x
Allen Toussaint 	Allen 	Toussaint 	p	x
Alpha Blondy 	Alpha 	Blondy 	p	x
Amadou et Mariam 	Amadou 	et Mariam 	p	x
Amir ElSaffar 	Amir 	ElSaffar 	p	x
Amy Winehouse 	Amy 	Winehouse 	p	x
Ana Popovic 	Ana 	Popovic 	p	x
Anais 	Anais 		p	x
André Ceccarelli 	André 	Ceccarelli 	p	x
Andreas Ottensamer 	Andreas 	Ottensamer 	p	x
Angel Haze 	Angel 	Haze 	p	x
Angie Stone 	Angie 	Stone 	p	x
Anis 	Anis 		p	x
Anita O'Day 	Anita 	O'Day 	p	x
Anna King 	Anna 	King 	p	x
Anthony Joseph 	Anthony 	Joseph 	p	x
Antoine 	Antoine 		p	x
Antonio Carlos Jobim 	Antonio 	Carlos Jobim 	p	x
Antunes Brown Monte 	Antunes 	Brown Monte 	p	x
Arat Kilo 	Arat 	Kilo 	p	x
Archie Sheep 	Archie 	Sheep 	p	x
Aretha Franklin 	Aretha 	Franklin 	p	x
Art Blakey 	Art 	Blakey 	p	x
Art Pepper 	Art 	Pepper 	p	x
Arthur H 	Arthur H 		p	x
Asa 	Asa 		p	x
Astrud Gilberto 	Astrud 	Gilberto 	p	x
Aurélie Cabrel 	Aurélie 	Cabrel 	p	x
Axel Bauer 	Axel 	Bauer 	p	x
Axel Red 	Axel 	Red 	p	x
Ayo 	Ayo 		p	x
