Magma 	Magma 	Magma 	g	x
Malted Milk 	Malted Milk 	Malted Milk 	g	x
Marquis De Sade 	Marquis De Sade 	Marquis De Sade 	g	x
Mass Hysteria 	Mass Hysteria 	Mass Hysteria 	g	x
Massilia Sound System 	Massilia Sound System 	Massilia Sound System 	g	x
Massive Attack 	Massive Attack 	Massive Attack 	g	x
MC5 	MC5 	MC5 	g	x
Metallica 	Metallica 	Metallica 	g	x
Metric 	Metric 	Metric 	g	x
MGMT 	MGMT 	MGMT 	g	x
Mickey3d 	Mickey3d 	Mickey3d 	g	x
Mississippi Heat 	Mississippi Heat 	Mississippi Heat 	g	x
Moving Units 	Moving Units 	Moving Units 	g	x
Muse 	Muse 	Muse 	g	x
New Order 	New Order 	New Order 	g	x
Niagara 	Niagara 	Niagara 	g	x
Nightmares on Wax 	Nightmares on Wax 	Nightmares on Wax 	g	x
Nirvana 	Nirvana 	Nirvana 	g	x
Noir Désir 	Noir Désir 	Noir Désir 	g	x
NTM 	NTM 	NTM 	g	x
Oasis 	Oasis 	Oasis 	g	x
Oberkampf 	Oberkampf 	Oberkampf 	g	x
OMD 	OMD 	OMD 	g	x
Oscar and the Wolf 	Oscar and the Wolf 	Oscar and the Wolf 	g	x
Outcaste 	Outcaste 	Outcaste 	g	x
Paris combo 	Paris combo 	Paris combo 	g	x
Parliament 	Parliament 	Parliament 	g	x
Pere Ubu 	Pere Ubu 	Pere Ubu 	g	x
Pigalle 	Pigalle 	Pigalle 	g	x
Pink Floyd 	Pink Floyd 	Pink Floyd 	g	x
Pixies 	Pixies 	Pixies 	g	x
Pogues 	Pogues 	Pogues 	g	x
Portishead 	Portishead 	Portishead 	g	x
Pretenders 	Pretenders 	Pretenders 	g	x
Pretty Eyes 	Pretty Eyes 	Pretty Eyes 	g	x
Primal Scream 	Primal Scream 	Primal Scream 	g	x
Queen 	Queen 	Queen 	g	x
Raggasonic 	Raggasonic 	Raggasonic 	g	x
Ramones 	Ramones 	Ramones 	g	x
Raoul Petite 	Raoul Petite 	Raoul Petite 	g	x
Red Hot Chili Pepers 	Red Hot Chili Pepers 	Red Hot Chili Pepers 	g	x
REM 	REM 	REM 	g	x
Roxy Music 	Roxy Music 	Roxy Music 	g	x
Sade 	Sade 	Sade 	g	x
Santana 	Santana 	Santana 	g	x
Scorpion 	Scorpion 	Scorpion 	g	x
Scorpions 	Scorpions 	Scorpions 	g	x
Shaka Ponk 	Shaka Ponk 	Shaka Ponk 	g	x
Silent Poets 	Silent Poets 	Silent Poets 	g	x
Simple Minds 	Simple Minds 	Simple Minds 	g	x
Simply Red 	Simply Red 	Simply Red 	g	x
Sinead O Connor 	Sinead O Connor 	Sinead O Connor 	g	x
Sinsemila 	Sinsemila 	Sinsemila 	g	x
Siouxsie and the Banshees 	Siouxsie and the Banshees 	Siouxsie and the Banshees 	g	x
Sisters of Mercy 	Sisters of Mercy 	Sisters of Mercy 	g	x
Sly et The Family Stone 	Sly et The Family Stone 	Sly et The Family Stone 	g	x
Soldat Louis 	Soldat Louis 	Soldat Louis 	g	x
Soldout 	Soldout 	Soldout 	g	x
Soulwax 	Soulwax 	Soulwax 	g	x
Sparks 	Sparks 	Sparks 	g	x
Special 	Special 	Special 	g	x
Spice Girls 	Spice Girls 	Spice Girls 	g	x
St. Petersburg String Quartet 	St. Petersburg String Quartet 	St. Petersburg String Quartet 	g	x
Steel Pulse 	Steel Pulse 	Steel Pulse 	g	x
Steely Dan 	Steely Dan 	Steely Dan 	g	x
Steppenwolf 	Steppenwolf 	Steppenwolf 	g	x
Sugarhill Gang 	Sugarhill Gang 	Sugarhill Gang 	g	x
Suicide 	Suicide 	Suicide 	g	x
Sun Ra 	Sun Ra 	Sun Ra 	g	x
T Rex 	T Rex 	T Rex 	g	x
Talking Heads 	Talking Heads 	Talking Heads 	g	x
Tangerine Dream 	Tangerine Dream 	Tangerine Dream 	g	x
Taxi Girl 	Taxi Girl 	Taxi Girl 	g	x
Telephone 	Telephone 	Telephone 	g	x
Television 	Television 	Television 	g	x
Ten Years After 	Ten Years After 	Ten Years After 	g	x
Tetes Raides 	Tetes Raides 	Tetes Raides 	g	x
Texas 	Texas 	Texas 	g	x
The B-52's 	The B-52's 	The B-52's 	g	x
The Blues Brothers 	The Blues Brothers 	The Blues Brothers 	g	x
The Clash 	The Clash 	The Clash 	g	x
The Commitments 	The Commitments 	The Commitments 	g	x
The Cramps 	The Cramps 	The Cramps 	g	x
The Cranberries 	The Cranberries 	The Cranberries 	g	x
The Cure 	The Cure 	The Cure 	g	x
The Divine Comedy 	The Divine Comedy 	The Divine Comedy 	g	x
The Ethiopians 	The Ethiopians 	The Ethiopians 	g	x
The Faboulous Troubadour 	The Faboulous Troubadour 	The Faboulous Troubadour 	g	x
The Fabulous Thunderbirds 	The Fabulous Thunderbirds 	The Fabulous Thunderbirds 	g	x
The Fleshtones 	The Fleshtones 	The Fleshtones 	g	x
The Go-Go s 	The Go-Go s 	The Go-Go s 	g	x
The Go! Team 	The Go! Team 	The Go! Team 	g	x
The Gun Club 	The Gun Club 	The Gun Club 	g	x
The Jam 	The Jam 	The Jam 	g	x
The Kills 	The Kills 	The Kills 	g	x
The Kooks 	The Kooks 	The Kooks 	g	x
The Lords of Altamont 	The Lords of Altamont 	The Lords of Altamont 	g	x
The Mamas and the Papas 	The Mamas and the Papas 	The Mamas and the Papas 	g	x
The Penelopes 	The Penelopes 	The Penelopes 	g	x
The Police 	The Police 	The Police 	g	x
The Pretty Things 	The Pretty Things 	The Pretty Things 	g	x
The Prodigy 	The Prodigy 	The Prodigy 	g	x
The Servant 	The Servant 	The Servant 	g	x
The Sex Pistols 	The Sex Pistols 	The Sex Pistols 	g	x
The Shoes 	The Shoes 	The Shoes 	g	x
The Small Faces 	The Small Faces 	The Small Faces 	g	x
The Smiths 	The Smiths 	The Smiths 	g	x
The Staple Singers 	The Staple Singers 	The Staple Singers 	g	x
The Stlye Council 	The Stlye Council 	The Stlye Council 	g	x
The Supremes 	The Supremes 	The Supremes 	g	x
The Temper Trap 	The Temper Trap 	The Temper Trap 	g	x
The Temptations 	The Temptations 	The Temptations 	g	x
The Trammps 	The Trammps 	The Trammps 	g	x
The Undertones 	The Undertones 	The Undertones 	g	x
The Verve 	The Verve 	The Verve 	g	x
The Volunteered Slaves 	The Volunteered Slaves 	The Volunteered Slaves 	g	x
The White Stripes 	The White Stripes 	The White Stripes 	g	x
The Who 	The Who 	The Who 	g	x
Third World 	Third World 	Third World 	g	x
Tindersticks 	Tindersticks 	Tindersticks 	g	x
Tom Tom Club 	Tom Tom Club 	Tom Tom Club 	g	x
Trio Beyond 	Trio Beyond 	Trio Beyond 	g	x
Trust 	Trust 	Trust 	g	x
U2 	U2 	U2 	g	x
Ultravox 	Ultravox 	Ultravox 	g	x
Urban dub 	Urban dub 	Urban dub 	g	x
Wailing Souls 	Wailing Souls 	Wailing Souls 	g	x
Warpaint 	Warpaint 	Warpaint 	g	x
Wax Tailor 	Wax Tailor 	Wax Tailor 	g	x
Weather Report 	Weather Report 	Weather Report 	g	x
West Coast Hip Hop 	West Coast Hip Hop 	West Coast Hip Hop 	g	x
White Lies 	White Lies 	White Lies 	g	x
Woodkid 	Woodkid 	Woodkid 	g	x
Yes 	Yes 	Yes 	g	x
Zebda 	Zebda 	Zebda 	g	x
ZZ Top 	ZZ Top 	ZZ Top 	g	x
