Kaufmann Jean-Paul 	Kaufmann 	Jean-Paul 	e	x
Kessel Joseph 	Kessel 	Joseph 	e	x
Lanzmann Jacques 	Lanzmann 	Jacques 	e	x
Lapierre Alexandre 	Lapierre 	Alexandre 	e	x
Le Bailly David 	Le 	Bailly David 	e	x
Le Clésio JM 	Le 	Clésio JM 	e	x
Le Gendre Nathalie 	Le 	Gendre Nathalie 	e	x
Le Roy Eugène 	Le 	Roy Eugène 	e	x
Le Toumelin Jacque Yves 	Le 	Toumelin Jacque Yves 	e	x
Legrand Claude J 	Legrand 	Claude J 	e	x
Lenteric Bernard 	Lenteric 	Bernard 	e	x
Leroy Gilles 	Leroy 	Gilles 	e	x
Leroy Jérôme 	Leroy 	Jérôme 	e	x
Locandro Catherine 	Locandro 	Catherine 	e	x
Manchette Jean Patrick 	Manchette 	Jean Patrick 	e	x
Mankell Henning 	Mankell 	Henning 	e	x
Marguier Claire Lise 	Marguier 	Claire Lise 	e	x
Maris Bernard 	Maris 	Bernard 	e	x
Mazarin Jean 	Mazarin 	Jean 	e	x
Minier Bernard 	Minier 	Bernard 	e	x
Moitessier Bernard 	Moitessier 	Bernard 	e	x
Moka 	Moka 		e	x
Montero Rosa 	Montero 	Rosa 	e	x
Morris G. 	Morris 	G. 	e	x
Mouchard Christel 	Mouchard 	Christel 	e	x
Murail Marie Aude 	Murail 	Marie Aude 	e	x
Musset Alfred de  	Musset 	Alfred de  	e	x
Olmi Véronique 	Olmi 	Véronique 	e	x
Orléan André 	Orléan 	André 	e	x
Otte Marcel 	Otte 	Marcel 	e	x
Pagnotta Antonio 	Pagnotta 	Antonio 	e	x
Pavloff Franck 	Pavloff 	Franck 	e	x
Pennac Daniel 	Pennac 	Daniel 	e	x
Pierre José 	Pierre 	José 	e	x
Pirotte Emmanuelle 	Pirotte 	Emmanuelle 	e	x
Pochon Caroline 	Pochon 	Caroline 	e	x
Pouy Jean Bernard 	Pouy 	Jean Bernard 	e	x
Queffelec Henri 	Queffelec 	Henri 	e	x
Ratcliffe Gabriel 	Ratcliffe 	Gabriel 	e	x
Reverdy Thomas B 	Reverdy 	Thomas B 	e	x
Reyes Alina 	Reyes 	Alina 	e	x
Robert Denis 	Robert 	Denis 	e	x
Rochefort Christiane 	Rochefort 	Christiane 	e	x
Roger Marie Sabine 	Roger 	Marie Sabine 	e	x
Rousseau François Olivier 	Rousseau 	François Olivier 	e	x
Roze Pascale 	Roze 	Pascale 	e	x
Rozen Anna 	Rozen 	Anna 	e	x
Sabolo Monica 	Sabolo 	Monica 	e	x
Sade Marquis De 	Sade 	Marquis De 	e	x
Sagan Françoise 	Sagan 	Françoise 	e	x
Sand George 	Sand 	George 	e	x
Sénanque Antoine 	Sénanque 	Antoine 	e	x
Signol Christian 	Signol 	Christian 	e	x
Sigward Valérie 	Sigward 	Valérie 	e	x
Suskin Stephan 	Suskin 	Stephan 	e	x
Sylvestre Françoise 	Sylvestre 	Françoise 	e	x
Taillandier François 	Taillandier 	François 	e	x
Thomas Chantal 	Thomas 	Chantal 	e	x
Todd Emmanuel 	Todd 	Emmanuel 	e	x
Tong Cuong Valérie 	Tong 	Cuong Valérie 	e	x
Valdes Zoé 	Valdes 	Zoé 	e	x
Vargas Fred 	Vargas 	Fred 	e	x
Vercor 	Vercor 		e	x
Vernes Jules 	Vernes 	Jules 	e	x
Vian Boris 	Vian 	Boris 	e	x
Vigan Delphine De 	Vigan 	Delphine De 	e	x
Vuillard Eric 	Vuillard 	Eric 	e	x
Westhoff Denis 	Westhoff 	Denis 	e	x
Zalberg Carole 	Zalberg 	Carole 	e	x
Zenifer Alice 	Zenifer 	Alice 	e	x
