Groupe	ID	Nom	Genre	Pays	Domaine	CreatTS	ModifTS	Info	
Groupe	100	Godsmack			MUS	2024-11-30T09:10:44		
Groupe	101	GoGo Penguin			MUS	2024-11-30T09:10:44		
Groupe	102	Gong			MUS	2024-11-30T09:10:44		
Groupe	103	Gotan Project			MUS	2024-11-30T09:10:44		
Groupe	104	Grandmaster Flash			MUS	2024-11-30T09:10:44		
Groupe	105	Groove Armada			MUS	2024-11-30T09:10:44		
Groupe	106	Groundation			MUS	2024-11-30T09:10:44		
Groupe	107	Hooded Fang			MUS	2024-11-30T09:10:44		
Groupe	108	Hot Tuna			MUS	2024-11-30T09:10:44		
Groupe	109	IAM			MUS	2024-11-30T09:10:44		
Groupe	110	Inmates			MUS	2024-11-30T09:10:44		
Groupe	111	Inxs			MUS	2024-11-30T09:10:44		
Groupe	112	Israel Vibration			MUS	2024-11-30T09:10:44		
Groupe	113	Jad Wio			MUS	2024-11-30T09:10:44		
Groupe	114	Jazzanova			MUS	2024-11-30T09:10:44		
Groupe	115	Jefferson Airplane			MUS	2024-11-30T09:10:44		
Groupe	116	Joy Division			MUS	2024-11-30T09:10:44		
Groupe	117	Killing Joke			MUS	2024-11-30T09:10:44		
Groupe	118	King Crimson			MUS	2024-11-30T09:10:44		
Groupe	119	Kings Of Leon			MUS	2024-11-30T09:10:44		
Groupe	120	Kool And The Gang			MUS	2024-11-30T09:10:44		
Groupe	121	La Souris Déglingué			MUS	2024-11-30T09:10:44		
Groupe	122	La Souterraine			MUS	2024-11-30T09:10:44		
Groupe	123	Le Peuple De L'Herbe			MUS	2024-11-30T09:10:44		
Groupe	124	Le Rosenberg Trio			MUS	2024-11-30T09:10:44		
Groupe	125	Led Zeppelin			MUS	2024-11-30T09:10:44		
Groupe	126	Les Belles Lurettes			MUS	2024-11-30T09:10:44		
Groupe	127	Les Blerots de Ravel			MUS	2024-11-30T09:10:44		
Groupe	128	Les Rita Mitsouko			MUS	2024-11-30T09:10:44		
Groupe	129	LFO			MUS	2024-11-30T09:10:44		
Groupe	130	LMFAO			MUS	2024-11-30T09:10:44		
Groupe	131	Lofofora			MUS	2024-11-30T09:10:44		
Groupe	132	Louise Attaque			MUS	2024-11-30T09:10:44		
Groupe	133	Madness			MUS	2024-11-30T09:10:44		
Groupe	134	Madrugada			MUS	2024-11-30T09:10:44		
Groupe	135	Magazine			MUS	2024-11-30T09:10:44		
Groupe	136	Magma			MUS	2024-11-30T09:10:44		
Groupe	137	Malted Milk			MUS	2024-11-30T09:10:44		
Groupe	138	Marquis De Sade			MUS	2024-11-30T09:10:44		
Groupe	139	Mass Hysteria			MUS	2024-11-30T09:10:44		
Groupe	140	Massilia Sound System			MUS	2024-11-30T09:10:44		
Groupe	141	Massive Attack			MUS	2024-11-30T09:10:44		
Groupe	142	MC5			MUS	2024-11-30T09:10:44		
Groupe	143	Metallica			MUS	2024-11-30T09:10:44		
Groupe	144	Metric			MUS	2024-11-30T09:10:44		
Groupe	145	MGMT			MUS	2024-11-30T09:10:44		
Groupe	146	Mickey3d			MUS	2024-11-30T09:10:44		
Groupe	147	Mississippi Heat			MUS	2024-11-30T09:10:44		
Groupe	148	Moving Units			MUS	2024-11-30T09:10:44		
Groupe	149	Muse			MUS	2024-11-30T09:10:44		
Groupe	150	New Order			MUS	2024-11-30T09:10:44		
Groupe	151	Niagara			MUS	2024-11-30T09:10:44		
Groupe	152	Nightmares on Wax			MUS	2024-11-30T09:10:44		
Groupe	153	Nirvana			MUS	2024-11-30T09:10:44		
Groupe	154	Noir Désir			MUS	2024-11-30T09:10:44		
Groupe	155	NTM			MUS	2024-11-30T09:10:44		
Groupe	156	Oasis			MUS	2024-11-30T09:10:44		
Groupe	157	Oberkampf			MUS	2024-11-30T09:10:44		
Groupe	158	OMD			MUS	2024-11-30T09:10:44		
Groupe	159	Oscar and the Wolf			MUS	2024-11-30T09:10:44		
Groupe	160	Outcaste			MUS	2024-11-30T09:10:44		
Groupe	161	Paris combo			MUS	2024-11-30T09:10:44		
Groupe	162	Parliament			MUS	2024-11-30T09:10:44		
Groupe	163	Pere Ubu			MUS	2024-11-30T09:10:44		
Groupe	164	Pigalle			MUS	2024-11-30T09:10:44		
Groupe	165	Pink Floyd			MUS	2024-11-30T09:10:44		
Groupe	166	Pixies			MUS	2024-11-30T09:10:44		
Groupe	167	Pogues			MUS	2024-11-30T09:10:44		
Groupe	168	Portishead			MUS	2024-11-30T09:10:44		
Groupe	169	Pretenders			MUS	2024-11-30T09:10:44		
Groupe	170	Pretty Eyes			MUS	2024-11-30T09:10:44		
Groupe	171	Primal Scream			MUS	2024-11-30T09:10:44		
Groupe	172	Queen			MUS	2024-11-30T09:10:44		
Groupe	173	Raggasonic			MUS	2024-11-30T09:10:44		
Groupe	174	Ramones			MUS	2024-11-30T09:10:44		
Groupe	175	Raoul Petite			MUS	2024-11-30T09:10:44		
Groupe	176	Red Hot Chili Pepers			MUS	2024-11-30T09:10:44		
Groupe	177	REM			MUS	2024-11-30T09:10:44		
Groupe	178	Roxy Music			MUS	2024-11-30T09:10:44		
Groupe	179	Sade			MUS	2024-11-30T09:10:44		
Groupe	180	Santana			MUS	2024-11-30T09:10:44		
Groupe	181	Scorpion			MUS	2024-11-30T09:10:44		
Groupe	182	Scorpions			MUS	2024-11-30T09:10:44		
Groupe	183	Shaka Ponk			MUS	2024-11-30T09:10:44		
Groupe	184	Silent Poets			MUS	2024-11-30T09:10:44		
Groupe	185	Simple Minds			MUS	2024-11-30T09:10:44		
Groupe	186	Simply Red			MUS	2024-11-30T09:10:44		
Groupe	187	Sinead O Connor			MUS	2024-11-30T09:10:44		
Groupe	188	Sinsemila			MUS	2024-11-30T09:10:44		
Groupe	189	Siouxsie and the Banshees			MUS	2024-11-30T09:10:44		
Groupe	190	Sisters of Mercy			MUS	2024-11-30T09:10:44		
Groupe	191	Sly et The Family Stone			MUS	2024-11-30T09:10:44		
Groupe	192	Soldat Louis			MUS	2024-11-30T09:10:44		
Groupe	193	Soldout			MUS	2024-11-30T09:10:44		
Groupe	194	Soulwax			MUS	2024-11-30T09:10:44		
Groupe	195	Sparks			MUS	2024-11-30T09:10:44		
Groupe	196	Special			MUS	2024-11-30T09:10:44		
Groupe	197	Spice Girls			MUS	2024-11-30T09:10:44		
