Role	ID	ID_Qui	ID_Quoi	Descr	Info	CreatTS	ModifTS	ID_Groupe	
Role	933	241	906	F1		2024-11-30T09:10:42		0
Role	1061	1719	1515	F-Tilda puis Sonmi		2024-11-30T09:10:42		0
Role	4869	2726	3708	Ecrivain		2024-11-30T09:10:43		0
Role	5413	2792	3895			2024-11-30T09:10:43	2023-10-23T20:25:17	0
Role	668	313	793	F1		2024-11-30T09:10:41		0
Role	3130	2303	2612	Musicien		2024-11-30T09:10:43		0
Role	3136	2307	2613	Musicien		2024-11-30T09:10:43		0
Role	87	64	543	F2		2024-11-30T09:10:41	2024-01-23T19:37:04	0
Role	1141	1760	768	M3-Country Club		2024-11-30T09:10:41		0
Role	5559	192	3974			2024-11-30T09:10:43		0
Role	934	258	907	F1		2024-11-30T09:10:42	2024-01-08T21:07:51	0
Role	967	527	920	M1		2024-11-30T09:10:42		0
Role	968	322	921	F1		2024-11-30T09:10:42		0
Role	641	165	779	F2-Pamela Landy		2024-11-30T09:10:42		0
Role	4113	1908	1922	Musicien		2024-11-30T09:10:42		0
Role	4667	2628	3843	Artiste		2024-11-30T09:10:42		0
Role	198	422	594	M1		2024-11-30T09:10:41		0
Role	3051	1986	2054	Artiste		2024-11-30T09:10:42	0	0
Role	656	46	785	F2		2024-11-30T09:10:42	2024-05-23T20:05:36	0
Role	663	67	791	F1		2024-11-30T09:10:41		0
Role	1028	269	976	F1		2024-11-30T09:10:41		0
Role	432	192	692	F1-la chanteuse (gretta)		2024-11-30T09:10:41	2023-09-18T20:49:49	0
Role	483	510	714	M1		2024-11-30T09:10:41		0
Role	271	642	625	M2		2024-11-30T09:10:41		0
Role	109	131	553	F1		2024-11-30T09:10:42		0
Role	1180	1773	635	F2-Coach Sport		2024-11-30T09:10:42	2024-01-02T19:50:02	0
Role	580	435	754	M1		2024-11-30T09:10:42		0
Role	823	6	851	F2-la fille adoptée		2024-11-30T09:10:44	2024-05-07T19:59:46	0
Role	3999	2573	3505	Musicien		2024-11-30T09:10:43		0
Role	4890	2733	3731	Ecrivain		2024-11-30T09:10:43		0
Role	4036	1904	2096	Bassiste		2024-11-30T09:10:42	2023-09-03T11:23:35	0
Role	383	414	670	M1		2024-11-30T09:10:42		0
Role	484	186	715	F1		2024-11-30T09:10:41		0
Role	912	145	895	F1		2024-11-30T09:10:42		0
Role	3016	490	910			2024-11-30T09:10:42	0	0
Role	1203	2240	3850	F2-la mere Fadet		2024-11-30T09:10:42		0
Role	862	57	870	F1		2024-11-30T09:10:42	2024-05-26T21:09:42	0
Role	1033	1704	898	M2		2024-11-30T09:10:41		0
Role	1034	1702	945	M1-Blade Runner		2024-11-30T09:10:41	2023-08-21T21:52:04	0
Role	3583	2456	3169	Musicien		2024-11-30T09:10:43		0
Role	4893	2734	3734	Ecrivain		2024-11-30T09:10:43		0
Role	1196	1766	865			2024-11-30T09:10:42		0
Role	3131	2304	3175	Musicien		2024-11-30T09:10:42		0
Role	2988	1922	1783			2024-11-30T09:10:42	0	0
Role	576	406	753	M1		2024-11-30T09:10:42		0
Role	577	637	753	M2		2024-11-30T09:10:42		0
Role	43	624	519	M2		2024-11-30T09:10:41		0
